title,genre,production_company,actors,description,votes,reviews_from_users,reviews_from_critics,director,weighted_average,IMDb Score,Information,title_lower
Monty Python and the Holy Grail,"Adventure, Comedy, Fantasy",Python (Monty) Pictures,"Graham Chapman, John Cleese, Eric Idle, Terry Gilliam, Terry Jones, Michael Palin, Connie Booth, Carol Cleveland, Neil Innes, Bee Duffell, John Young, Rita Davies, Avril Stewart, Sally Kinghorn, Mark Zycon","King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",472150,738.0,102.0,"Terry Gilliam, Terry Jones",8.076262508331553,8.2,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.Graham Chapman John Cleese Eric IdleAdventure, Comedy, FantasyTerry Gilliam, Terry Jones",monty python and the holy grail
Rajnigandha,"Drama, Romance",,"Vidya Sinha, Amol Palekar, Dinesh Thakur, Ranjita Thakur, Veena Godh, Manju Maini, Master Chicoo, Raj Prakash, B.B. Sahni",A Delhi-based woman in a steady relationship with her boyfriend is forced to come to terms with her true feelings when a job interview in Mumbai brings an old flame back in her life.,461,4.0,,Basu Chatterjee,6.116894285955207,7.4,"A Delhi-based woman in a steady relationship with her boyfriend is forced to come to terms with her true feelings when a job interview in Mumbai brings an old flame back in her life.Vidya Sinha Amol Palekar Dinesh ThakurDrama, RomanceBasu Chatterjee",rajnigandha
Act of Vengeance,"Crime, Drama, Horror",American International Pictures (AIP),"Jo Ann Harris, Peter Brown, Jennifer Lee Pryor, Lisa Moore, Connie Strickland, Patricia Estrin, Lada Edmund Jr., Tony Young, Steve Kanaly, Ross Elliott, John Pickard, Ninette Bravo, Stanley Adams, Joan McCall, Anneka Di Lorenzo",Linda gets raped by a man in a hockey mask. She finds that a few other women have had the same treatment. Together they form a squad that starts looking for the man and also changes the mind of would-be rapists.,641,22.0,34.0,Mahsun Kırmızıgül,6.084166655435714,5.5,"Linda gets raped by a man in a hockey mask. She finds that a few other women have had the same treatment. Together they form a squad that starts looking for the man and also changes the mind of would-be rapists.Jo Ann Harris Peter Brown Jennifer Lee PryorCrime, Drama, HorrorMahsun Kırmızıgül",act of vengeance
The Rehearsal,Drama,Melina Film,"Melina Mercouri, Mikis Theodorakis, Rénos Mandis, Stathis Giallelis, Robyn Goodman, Steve Inwood, Olympia Dukakis, Jerry Zafer, Yiannes Iordanidis, John Moratus, Dmitri Hadjis, John Randolph, Jerrold Ziman, Louis Zorich, Salem Ludwig",A recreation of how the Greek military junta that started in 1967 tragically affected university students.,119,1.0,,Alison MacLean,6.098472254849144,6.5,A recreation of how the Greek military junta that started in 1967 tragically affected university students.Melina Mercouri Mikis Theodorakis Rénos MandisDramaAlison MacLean,the rehearsal
,Drama,Hibiscus Films,"Michelle Ny, James Rolleston, Ella Edward, Erroll Shand, Rachel Roberts, Grace Augustine, Niwa Whatuira, Elliot Wrightson, Sadia Gordon, Evan Fenemor, Miranda Harcourt, Cohen Holloway, Alice Englert, Kieran Charnock, Jamie Curry",First-year acting student Stanley mines his girlfriend's family scandal as material for the end-of-year show at drama school. The result is a moral minefield.,220,5.0,18.0,Alison MacLean,6.093917192238508,5.7,First-year acting student Stanley mines his girlfriend's family scandal as material for the end-of-year show at drama school. The result is a moral minefield.Michelle Ny James Rolleston Ella EdwardDramaAlison MacLean,the rehearsal
Chupke Chupke,"Comedy, Drama, Romance",Rupam Chitra,"Dharmendra, Sharmila Tagore, Amitabh Bachchan, Jaya Bachchan, David Abraham, Usha Kiran, Lily Chakravarty, Keshto Mukherjee, Dev Kishan, Om Prakash, Lalita Kumari, Naina Apte, Chaitali, Aarti, Amol Sen",A newly wedded husband plays a practical joke on his wife's family with full support from his wife and friends.,10421,14.0,2.0,Hrishikesh Mukherjee,6.697839215915648,8.4,"A newly wedded husband plays a practical joke on his wife's family with full support from his wife and friends.Dharmendra Sharmila Tagore Amitabh BachchanComedy, Drama, RomanceHrishikesh Mukherjee",chupke chupke
Faraar,"Action, Crime, Drama",Alankar Chitra,"Sanjeev Kumar, Sharmila Tagore, Amitabh Bachchan, Sulochana Latkar, Anupama, Jayshree T., Leena Das, Sajjan, Rajan Haksar, Amit Kapur, D.K. Sapru, Master Bhagwan, Brahmachari, Murad, Brahm Bhardwaj","When two lovers separated due to financial circumstance are reunited several years later under one roof, sparks fly and emotions run high. How will they resolve this relationship?",272,7.0,1.0,Baljit Singh Deo,6.10510039529229,7.0,"When two lovers separated due to financial circumstance are reunited several years later under one roof, sparks fly and emotions run high. How will they resolve this relationship?Sanjeev Kumar Sharmila Tagore Amitabh BachchanAction, Crime, DramaBaljit Singh Deo",faraar
,Action,Sippy Grewal Productions,"Gippy Grewal, Kainaat Arora, Jaggi Singh, Malcolm Matthews, Girja Shankar, Rahul Nath, Ash Wahi, Raja Deka, Sitara Attaie, Dimple Bains, Saleem Allahi, Sonu La, Kiran Shergill, Gurfateh Singh Grewal, Seema Kaushal",A man travelling to the United States meets a mysterious woman and gets wrapped up in an investigation when authorities mistake him for a notorious criminal.,223,4.0,,Baljit Singh Deo,6.091627821947882,5.4,A man travelling to the United States meets a mysterious woman and gets wrapped up in an investigation when authorities mistake him for a notorious criminal.Gippy Grewal Kainaat Arora Jaggi SinghActionBaljit Singh Deo,faraar
Hera Pheri,"Action, Comedy, Crime",Chaudhary Enterprises,"Saira Banu, Vinod Khanna, Amitabh Bachchan, Sulakshana Pandit, Shreeram Lagoo, Pinchoo Kapoor, Paidi Jairaj, Yunus Parvez, Mac Mohan, Mohan Sherry, Urmila Bhatt, Goga Kapoor, Randhir, Vikas Anand, R.P. Sethi","Best friends Vijay and Ajay sever their friendship when Vijay discovers that his father's murderer may be Ajay's own long-lost father, setting into motion a bloody saga of familial revenge ...",866,2.0,1.0,Prakash Mehra,6.119746635901494,6.9,"Best friends Vijay and Ajay sever their friendship when Vijay discovers that his father's murderer may be Ajay's own long-lost father, setting into motion a bloody saga of familial revenge ...Saira Banu Vinod Khanna Amitabh BachchanAction, Comedy, CrimePrakash Mehra",hera pheri
,"Action, Comedy, Crime",A.G. Films,"Akshay Kumar, Sunil Shetty, Paresh Rawal, Tabu, Om Puri, Gulshan Grover, Kulbhushan Kharbanda, Mukesh Khanna, Asrani, Sulabha Arya, Dinesh Hingoo, Mushtaq Khan, Razak Khan, Kashmira Shah, Namrata Shirodkar","Three unemployed men find the answer to all their money problems when they receive a call from a kidnapper. However, things do not go as planned.",50038,53.0,2.0,Prakash Mehra,7.419707145591259,8.2,"Three unemployed men find the answer to all their money problems when they receive a call from a kidnapper. However, things do not go as planned.Akshay Kumar Sunil Shetty Paresh RawalAction, Comedy, CrimePrakash Mehra",hera pheri
Inside Out,"Comedy, Crime, Thriller",Kettledrum Films,"Telly Savalas, Robert Culp, James Mason, Aldo Ray, Günter Meisner, Adrian Hoven, Wolfgang Lukschy, Charles Korvin, Constantine Gregory, Richard Warner, Don Fellows, Doris Kunstmann, Lorna Dallas, Sigrid Hanack, Peter Schlesinger","Thirty years after WW2, a team of former GIs and German soldiers plans to retrieve Nazi loot hidden in the Soviet occupied East Germany, its exact location only known to an imprisoned Nazi war criminal.",344,12.0,7.0,,6.094585470965415,5.9,"Thirty years after WW2, a team of former GIs and German soldiers plans to retrieve Nazi loot hidden in the Soviet occupied East Germany, its exact location only known to an imprisoned Nazi war criminal.Telly Savalas Robert Culp James MasonComedy, Crime, Thrillernan",inside out
,"Drama, Romance",Agoraphobe,"Elliott Gould, Howard Hesseman, Jennifer Tilly, Beah Richards, Dana Elcar, Timothy Scott, Sandy McPeak, Nicole Nourmand, John Bleifer, Robert Miranda, Meshach Taylor, Jim Bentley, Harry Gelbart, Read Morgan, Beverly Reed",An agoraphobic must give up his sheltered life and venture outside after a series of personal and financial problems.,192,4.0,5.0,,6.098166319769298,6.3,"An agoraphobic must give up his sheltered life and venture outside after a series of personal and financial problems.Elliott Gould Howard Hesseman Jennifer TillyDrama, Romancenan",inside out
,"Drama, Mystery, Thriller",Ogdenigma Entertainment,"Eriq La Salle, Steven Weber, Russell Wong, Tyler Posey, Nia Peeples, Kate Walsh, Roberta Bassin, Tim Maculan, Richard Steinmetz, Sanny van Heteren, Don Handfield, Bob Sattler, Jason Jack Edwards, Joe Hart, Morgan Matzke",Families in an idyllic suburban neighborhood are taunted by a mysterious doctor who moves in to town and spins a web of psychological chaos that changes their lives forever.,388,5.0,5.0,,6.08781155510616,5.4,"Families in an idyllic suburban neighborhood are taunted by a mysterious doctor who moves in to town and spins a web of psychological chaos that changes their lives forever.Eriq La Salle Steven Weber Russell WongDrama, Mystery, Thrillernan",inside out
,"Crime, Drama",WWE Studios,"Paul Levesque, Michael Rapaport, Parker Posey, Bruce Dern, Julie White, Michael Cudlitz, Louis Mustillo, Juliette Goglia, James DuMont, Jency Griffin Hogan, J.D. Evermore, Antonino Paone, Patricia French, Alec Rayme, Danny Epper","A man is released from prison after serving a long time for killing a man who tried to kill his best friend. Once out, he just wants to live a normal life, but his best friend immediately gets him into a new heap of serious troubles.",1576,18.0,12.0,,6.015909533715344,4.5,"A man is released from prison after serving a long time for killing a man who tried to kill his best friend. Once out, he just wants to live a normal life, but his best friend immediately gets him into a new heap of serious troubles.Paul Levesque Michael Rapaport Parker PoseyCrime, Dramanan",inside out
,"Animation, Adventure, Comedy",Pixar Animation Studios,"Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader, Lewis Black, Mindy Kaling, Kaitlyn Dias, Diane Lane, Kyle MacLachlan, Paula Poundstone, Bobby Moynihan, Paula Pell, Dave Goelz, Frank Oz, Josh Cooley","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",556161,972.0,579.0,,8.09401175341366,8.2,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.Amy Poehler Phyllis Smith Richard KindAnimation, Adventure, Comedynan",inside out
Night Moves,"Crime, Mystery, Thriller",Warner Bros.,"Gene Hackman, Jennifer Warren, Edward Binns, Harris Yulin, Kenneth Mars, Janet Ward, James Woods, Anthony Costello, John Crawford, Melanie Griffith, Ben Archibek, Dennis Dugan, C.J. Hincks, Max Gail, Susan Barrister","Los Angeles private investigator Harry Moseby is hired by a client to find her runaway teenage daughter. Moseby tracks the daughter down, only to stumble upon something much more intriguing and sinister.",10708,71.0,65.0,Kelly Reichardt,6.363905569289627,7.1,"Los Angeles private investigator Harry Moseby is hired by a client to find her runaway teenage daughter. Moseby tracks the daughter down, only to stumble upon something much more intriguing and sinister.Gene Hackman Jennifer Warren Edward BinnsCrime, Mystery, ThrillerKelly Reichardt",night moves
,"Drama, Thriller",Maybach Film Productions,"Jesse Eisenberg, Dakota Fanning, Peter Sarsgaard, Alia Shawkat, Logan Miller, Kai Lennox, Katherine Waterston, James Le Gros, Traber Charles Burns, Autumn Nidalmia, Barry Del Sherman, Jason Rojas, Clara Mamet, Mikey Kampmann, Matt Malloy",Three radical environmentalists look to execute the protest of their lives: the explosion of a hydroelectric dam.,13263,77.0,200.0,Kelly Reichardt,6.066824842902471,6.0,"Three radical environmentalists look to execute the protest of their lives: the explosion of a hydroelectric dam.Jesse Eisenberg Dakota Fanning Peter SarsgaardDrama, ThrillerKelly Reichardt",night moves
Logan's Run,"Action, Sci-Fi",Metro-Goldwyn-Mayer (MGM),"Michael York, Richard Jordan, Jenny Agutter, Roscoe Lee Browne, Farrah Fawcett, Michael Anderson Jr., Peter Ustinov, Randolph Roberts, Lara Lindsay, Gary Morgan, Michelle Stacy, Laura Hippe, David Westberg, Camilla Carr, Greg Lewis",An idyllic science fiction future has one major drawback: life must end at the age of thirty.,48539,277.0,142.0,Michael Anderson,6.534114070666927,6.8,"An idyllic science fiction future has one major drawback: life must end at the age of thirty.Michael York Richard Jordan Jenny AgutterAction, Sci-FiMichael Anderson",logan's run
Rocky,"Drama, Sport",Chartoff-Winkler Productions,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Burgess Meredith, Thayer David, Joe Spinell, Jimmy Gambina, Bill Baldwin, Al Silvani, George Memmoli, Jodi Letizia, Diana Lewis, George O'Hanlon, Larry Carroll",A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,484391,652.0,176.0,John G. Avildsen,7.98495318113432,8.1,"A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.Sylvester Stallone Talia Shire Burt YoungDrama, SportJohn G. Avildsen",rocky
,"Action, Romance",Nalanda,"Sanjay Dutt, Reena Roy, Tina Ambani, Ranjeet, Aruna Irani, Shakti Kapoor, Amjad Khan, Rakhee Gulzar, Shashikala, Iftekhar, Satyendra Kapoor, Anwar Hussain, Agha, C.S. Dubey, Shiv Kumar","Shamlal is an educated young man who is employed in the construction business by Ratanlal. Shamlal is also the union leader, and would like Ratanlal to enforce measures for workers' safety....",551,1.0,1.0,John G. Avildsen,6.111572014243586,6.9,"Shamlal is an educated young man who is employed in the construction business by Ratanlal. Shamlal is also the union leader, and would like Ratanlal to enforce measures for workers' safety....Sanjay Dutt Reena Roy Tina AmbaniAction, RomanceJohn G. Avildsen",rocky
,"Action, Drama, Romance",Siddhi Vinayak Creations,"Zayed Khan, Isha Sharvani, Minissha Lamba, Rajat Bedi, Sarath Babu, Smita Jaykar, Ashwin Kaushal, Brij Gopal, Suresh Menon, Zoe Selah Smith",A hot tempered young boy gets into fight wherever he sees injustice around him. His life comes down crashing after he lock horns with a dangerous thug.,296,2.0,5.0,John G. Avildsen,6.0760333866013605,4.0,"A hot tempered young boy gets into fight wherever he sees injustice around him. His life comes down crashing after he lock horns with a dangerous thug.Zayed Khan Isha Sharvani Minissha LambaAction, Drama, RomanceJohn G. Avildsen",rocky
Sparkle,"Drama, Music",Robert Stigwood Organization (RSO),"Philip Michael Thomas, Irene Cara, Lonette McKee, Dwan Smith, Mary Alice, Dorian Harewood, Tony King, Beatrice Winde, Paul Lambert, Joyce Easton, Otis Day, Norma Miller, Talya Ferro, Bob Delegall, Armelia McQueen","Three sisters form a singing group in 1950s Harlem, but success threatens to ruin their relationship forever.",1292,20.0,18.0,Sam O'Steen,6.134729754559015,7.0,"Three sisters form a singing group in 1950s Harlem, but success threatens to ruin their relationship forever.Philip Michael Thomas Irene Cara Lonette McKeeDrama, MusicSam O'Steen",sparkle
,Comedy,Isle of Man Film Commission,"Lesley Manville, John Shrapnel, Bob Hoskins, Peter Gordon, Shaun Evans, Lorenzo Martelli, Roy Carruthers, Stockard Channing, Sophia Dawnay, Ellie Haddington, David Woodcock, Amanda Ryan, Omar Berdouni, Anthony Head, Richard Cant","Sam is a charming, young chancer who moves to London. His best laid plans for success suffer a real setback when true love turns his world upside down in the most unexpected of circumstances.",860,12.0,17.0,Sam O'Steen,6.094111199091709,6.0,"Sam is a charming, young chancer who moves to London. His best laid plans for success suffer a real setback when true love turns his world upside down in the most unexpected of circumstances.Lesley Manville John Shrapnel Bob HoskinsComedySam O'Steen",sparkle
,"Drama, Music",Akil Production Company,"Jordin Sparks Thomas, Whitney Houston, Derek Luke, Mike Epps, Carmen Ejogo, Tika Sumpter, Omari Hardwick, CeeLo Green, Curtis Armstrong, Terrence Jenkins, Tamela J. Mann, Michael Beach, Brely Evans, Linda Boston, Sidi Henderson","In the 1960s, three sisters form a girl group and soon become local sensations with major label interest, but fame becomes a challenge as the close-knit family begins to fall apart.",5695,49.0,80.0,Sam O'Steen,6.032665150855448,5.7,"In the 1960s, three sisters form a girl group and soon become local sensations with major label interest, but fame becomes a challenge as the close-knit family begins to fall apart.Jordin Sparks Thomas Whitney Houston Derek LukeDrama, MusicSam O'Steen",sparkle
Amar Akbar Anthony,"Action, Comedy, Drama",Hirawat Jain and Company,"Vinod Khanna, Rishi Kapoor, Amitabh Bachchan, Shabana Azmi, Neetu Singh, Parveen Babi, Nirupa Roy, Pran, Jeevan, Yusuf Khan, Mukri, Nasir Hussain, Kamal Kapoor, Hercules, Shivraj","Three brothers are separated and united after many years - one is brought up a Hindu, another a Muslim and the last (and most memorable) a Christian. Hilarity and adventure ensues.",6266,13.0,10.0,Manmohan Desai,6.342572258466751,7.5,"Three brothers are separated and united after many years - one is brought up a Hindu, another a Muslim and the last (and most memorable) a Christian. Hilarity and adventure ensues.Vinod Khanna Rishi Kapoor Amitabh BachchanAction, Comedy, DramaManmohan Desai",amar akbar anthony
,"Comedy, Crime",United Global Media Entertainment,"Prithviraj Sukumaran, Jayasurya, Indrajith Sukumaran, Namitha Pramod, Asif Ali, Srinda Ashab, Ponnamma Babu, Dharmajan Bolgatty, Bibin George, Eloor George, Kalabhavan Haneef, Iniya, Sasi Kalinga, Molly Kannamaly, Thezni Khan","Amar, Akbar and Anthony are close friends living in Kochi. They enjoy a carefree life. Their perceptions and beliefs get shattered with an unexpected event and the resulting story forms the plot of the movie.",1923,4.0,2.0,Manmohan Desai,6.12151288860846,6.5,"Amar, Akbar and Anthony are close friends living in Kochi. They enjoy a carefree life. Their perceptions and beliefs get shattered with an unexpected event and the resulting story forms the plot of the movie.Prithviraj Sukumaran Jayasurya Indrajith SukumaranComedy, CrimeManmohan Desai",amar akbar anthony
,Action,Mythri Movie Makers,"Ravi Teja, Ileana D'Cruz, Vikramjeet Virk, Abhimanyu Singh, Suneel, Tarun Arora, Sayaji Shinde, Adithya Menon, Subhalekha Sudhakar, Abhirami, Sloka, Sijoy Varghese, Laya, Raghu Babu, Srinivasa Reddy",A man suffering from Dissociative Identity Disorder has to take revenge against four businessmen for the murder of his family while his past confronts him in the form of his childhood love.,799,22.0,5.0,Manmohan Desai,6.054764648074186,4.5,A man suffering from Dissociative Identity Disorder has to take revenge against four businessmen for the murder of his family while his past confronts him in the form of his childhood love.Ravi Teja Ileana D'Cruz Vikramjeet VirkActionManmohan Desai,amar akbar anthony
For the Love of Benji,"Adventure, Comedy, Drama",Mulberry Square Productions,"Benji, Art Vasil, Allen Fiuzat, Patsy Garrett, Cynthia Smith, Ed Nelson, Catherine McClenry, Anassis Vassilakidis, Dean Goss, Tony Alatis, Kostas Kleftogiannis, Michalis Lambrinos, Peter Bowles, Bridget Armstrong, Valerios Megaloikonomov","Benji sniffs out a bogus CIA agent in Athens, Greece.",917,15.0,7.0,Joe Camp,6.093934927302347,6.0,"Benji sniffs out a bogus CIA agent in Athens, Greece.Benji Art Vasil Allen FiuzatAdventure, Comedy, DramaJoe Camp",for the love of benji
Freaky Friday,"Comedy, Family, Fantasy",Walt Disney Productions,"Barbara Harris, Jodie Foster, John Astin, Patsy Kelly, Dick Van Patten, Vicki Schreck, Sorrell Booke, Alan Oppenheimer, Ruth Buzzi, Kaye Ballard, Marc McClure, Marie Windsor, Sparky Marcus, Ceil Cabot, Brooke Mills",A mother and daughter find their personalities switched and have to live each other's lives on one strange Friday.,10857,59.0,17.0,,6.151484102789803,6.3,"A mother and daughter find their personalities switched and have to live each other's lives on one strange Friday.Barbara Harris Jodie Foster John AstinComedy, Family, Fantasynan",freaky friday
,"Comedy, Family, Fantasy",Casual Friday Productions,"Jamie Lee Curtis, Lindsay Lohan, Mark Harmon, Harold Gould, Chad Michael Murray, Stephen Tobolowsky, Christina Vidal, Ryan Malgarini, Haley Hudson, Rosalind Chao, Lucille Soong, Willie Garson, Dina Spybey-Waters, Julie Gonzalo, Christina Marie Walter","An overworked mother and her daughter do not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday.",117428,278.0,132.0,,6.099367963231034,6.1,"An overworked mother and her daughter do not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday.Jamie Lee Curtis Lindsay Lohan Mark HarmonComedy, Family, Fantasynan",freaky friday
Don,"Action, Crime, Thriller",Nariman Films,"Amitabh Bachchan, Zeenat Aman, Pran, Iftekhar, Om Shivpuri, Satyendra Kapoor, Paidi Jairaj, Kamal Kapoor, Arpana Choudhary, Helen, M.B. Shetty, Mac Mohan, Azaad Irani, Yashraj, Devaraj","Don, a wanted criminal, dies in a police chase. DSP D'Silva is the only one who knows about his death, and to get hold of the gang he trains Don-lookalike Vijay. But Vijay faces danger from the police and from within the gang.",10305,19.0,12.0,Chandra Barot,6.5376077090183005,7.8,"Don, a wanted criminal, dies in a police chase. DSP D'Silva is the only one who knows about his death, and to get hold of the gang he trains Don-lookalike Vijay. But Vijay faces danger from the police and from within the gang.Amitabh Bachchan Zeenat Aman PranAction, Crime, ThrillerChandra Barot",don
,"Action, Crime, Thriller",Nariman Films,"Amitabh Bachchan, Zeenat Aman, Pran, Iftekhar, Om Shivpuri, Satyendra Kapoor, Paidi Jairaj, Kamal Kapoor, Arpana Choudhary, Helen, M.B. Shetty, Mac Mohan, Azaad Irani, Yashraj, Devaraj","Don, a wanted criminal, dies in a police chase. DSP D'Silva is the only one who knows about his death, and to get hold of the gang he trains Don-lookalike Vijay. But Vijay faces danger from the police and from within the gang.",10305,19.0,12.0,Farhan Akhtar,6.5376077090183005,7.8,"Don, a wanted criminal, dies in a police chase. DSP D'Silva is the only one who knows about his death, and to get hold of the gang he trains Don-lookalike Vijay. But Vijay faces danger from the police and from within the gang.Amitabh Bachchan Zeenat Aman PranAction, Crime, ThrillerFarhan Akhtar",don
,"Action, Crime, Thriller",Excel Entertainment,"Shah Rukh Khan, Priyanka Chopra, Arjun Rampal, Isha Koppikar, Boman Irani, Om Puri, Pavan Malhotra, Rajesh Khattar, Tanay Chheda, Kareena Kapoor, Chunky Pandey, Diwakar Pundir, Sandrine Verrier Seth, Sidhart Jyoti, Shamsher Sidhu","A simple man, Vijay, is recruited by a police officer to masquerade as Don, the leader of an international gang of smugglers. But things go wrong when the officer is killed and Vijay is left to fend for himself.",32331,175.0,28.0,Chandra Barot,6.673539303864271,7.2,"A simple man, Vijay, is recruited by a police officer to masquerade as Don, the leader of an international gang of smugglers. But things go wrong when the officer is killed and Vijay is left to fend for himself.Shah Rukh Khan Priyanka Chopra Arjun RampalAction, Crime, ThrillerChandra Barot",don
,"Action, Crime, Thriller",Excel Entertainment,"Shah Rukh Khan, Priyanka Chopra, Arjun Rampal, Isha Koppikar, Boman Irani, Om Puri, Pavan Malhotra, Rajesh Khattar, Tanay Chheda, Kareena Kapoor, Chunky Pandey, Diwakar Pundir, Sandrine Verrier Seth, Sidhart Jyoti, Shamsher Sidhu","A simple man, Vijay, is recruited by a police officer to masquerade as Don, the leader of an international gang of smugglers. But things go wrong when the officer is killed and Vijay is left to fend for himself.",32331,175.0,28.0,Farhan Akhtar,6.673539303864271,7.2,"A simple man, Vijay, is recruited by a police officer to masquerade as Don, the leader of an international gang of smugglers. But things go wrong when the officer is killed and Vijay is left to fend for himself.Shah Rukh Khan Priyanka Chopra Arjun RampalAction, Crime, ThrillerFarhan Akhtar",don
,"Drama, Family",Egmond Film & Television,"Clemens Levert, Keisha Boye, Marius Gottlieb, Samir Veen, Ilias Addab, Juliann Ubbergen, Jorik Prins, Floris Heyne, Lodewijk de Stoppelaar, Caroline de Bruijn, Reinout Bussemaker, René van 't Hof, Sander Foppele, Nazmiye Oral, Raymi Sambo","Twelve year old Don is a new student on a 'black' school in Holland. As a white rich kid, he's got a lot of problems getting accepted by his class. With his great talent in football, he ...",151,2.0,2.0,Chandra Barot,6.094833396075348,5.7,"Twelve year old Don is a new student on a 'black' school in Holland. As a white rich kid, he's got a lot of problems getting accepted by his class. With his great talent in football, he ...Clemens Levert Keisha Boye Marius GottliebDrama, FamilyChandra Barot",don
,"Drama, Family",Egmond Film & Television,"Clemens Levert, Keisha Boye, Marius Gottlieb, Samir Veen, Ilias Addab, Juliann Ubbergen, Jorik Prins, Floris Heyne, Lodewijk de Stoppelaar, Caroline de Bruijn, Reinout Bussemaker, René van 't Hof, Sander Foppele, Nazmiye Oral, Raymi Sambo","Twelve year old Don is a new student on a 'black' school in Holland. As a white rich kid, he's got a lot of problems getting accepted by his class. With his great talent in football, he ...",151,2.0,2.0,Farhan Akhtar,6.094833396075348,5.7,"Twelve year old Don is a new student on a 'black' school in Holland. As a white rich kid, he's got a lot of problems getting accepted by his class. With his great talent in football, he ...Clemens Levert Keisha Boye Marius GottliebDrama, FamilyFarhan Akhtar",don
,"Action, Crime, Drama",Royal Film Company,"Nagarjuna Akkineni, Anushka Shetty, Lawrence Raghavendra, Nikita Thukral, Kelly Dorji, Nassar, Chetan Hansraj, Chalapathi Rao, Jeeva, Saleem Baig, Srinivasa Rao Kota, Kushal Punjabi, Supreet",A poor man becomes a benevolent gangster but faces threat from an even bigger gangster.,768,2.0,1.0,Chandra Barot,6.079180750206402,5.4,"A poor man becomes a benevolent gangster but faces threat from an even bigger gangster.Nagarjuna Akkineni Anushka Shetty Lawrence RaghavendraAction, Crime, DramaChandra Barot",don
,"Action, Crime, Drama",Royal Film Company,"Nagarjuna Akkineni, Anushka Shetty, Lawrence Raghavendra, Nikita Thukral, Kelly Dorji, Nassar, Chetan Hansraj, Chalapathi Rao, Jeeva, Saleem Baig, Srinivasa Rao Kota, Kushal Punjabi, Supreet",A poor man becomes a benevolent gangster but faces threat from an even bigger gangster.,768,2.0,1.0,Farhan Akhtar,6.079180750206402,5.4,"A poor man becomes a benevolent gangster but faces threat from an even bigger gangster.Nagarjuna Akkineni Anushka Shetty Lawrence RaghavendraAction, Crime, DramaFarhan Akhtar",don
Grease,"Musical, Romance",Paramount Pictures,"John Travolta, Olivia Newton-John, Stockard Channing, Jeff Conaway, Barry Pearl, Michael Tucci, Kelly Ward, Didi Conn, Jamie Donnelly, Dinah Manoff, Eve Arden, Frankie Avalon, Joan Blondell, Edd Byrnes, Sid Caesar","Good girl Sandy and greaser Danny fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?",217392,393.0,99.0,Randal Kleiser,7.068130238788705,7.2,"Good girl Sandy and greaser Danny fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?John Travolta Olivia Newton-John Stockard ChanningMusical, RomanceRandal Kleiser",grease
The Irishman,"Drama, Romance",Forest Home Films,"Michael Craig, Simon Burke, Robyn Nevin, Lou Brown, Tui Bow, Andrew McGuire, Gerard Kennedy, Tony Barry, Marcella Burgoyne, Bryan Brown, Vincent Ball, Roberta Grant, Roger Ward, John Clayton, Tim Robertson","The Doolan family are trying to make a go in the freight hauling business in Queensland, Australia. The problem is it's the 1920's, the Doolans use horses and motorized vehicles can do it ...",100,3.0,4.0,Martin Scorsese,6.097539320843705,6.3,"The Doolan family are trying to make a go in the freight hauling business in Queensland, Australia. The problem is it's the 1920's, the Doolans use horses and motorized vehicles can do it ...Michael Craig Simon Burke Robyn NevinDrama, RomanceMartin Scorsese",the irishman
,"Biography, Crime, Drama",Fábrica de Cine,"Robert De Niro, Al Pacino, Jesse Plemons, Anna Paquin, Joe Pesci, Stephen Graham, Bobby Cannavale, Harvey Keitel, Jack Huston, Kathrine Narducci, Domenick Lombardozzi, Dascha Polanco, Aleksa Palladino, Ray Romano, Steven Van Zandt",A mob hitman recalls his possible involvement with the slaying of Jimmy Hoffa.,8846,99.0,156.0,Martin Scorsese,6.697132688618982,8.7,"A mob hitman recalls his possible involvement with the slaying of Jimmy Hoffa.Robert De Niro Al Pacino Jesse PlemonsBiography, Crime, DramaMartin Scorsese",the irishman
