title,genre,production_company,actors,description,votes,reviews_from_users,reviews_from_critics,director,weighted_average,IMDb Score,Information,title_lower
Frances Ha,"Comedy, Drama, Romance",Pine District Pictures,"Greta Gerwig, Mickey Sumner, Michael Esper, Adam Driver, Michael Zegen, Charlotte d'Amboise, Grace Gummer, Daiva Deupree, Isabelle McNally, Vanessa Ray, Justine Lupe, Lindsay Burdge, Patrick Heusinger, Marina Squerciati, Christine Gerwig","A New York woman (who doesn't really have an apartment) apprentices for a dance company (though she's not really a dancer) and throws herself headlong into her dreams, even as the possibility of realizing them dwindles.",62297,168.0,345.0,Noah Baumbach,6.9810727386409495,7.4,"A New York woman (who doesn't really have an apartment) apprentices for a dance company (though she's not really a dancer) and throws herself headlong into her dreams, even as the possibility of realizing them dwindles.Greta Gerwig Mickey Sumner Michael EsperComedy, Drama, RomanceNoah Baumbach",frances ha
Mississippi Grind,"Comedy, Drama",Sycamore Pictures,"Ben Mendelsohn, Yvonne Landry, Anthony Howard, Ryan Reynolds, Jayson Warner Smith, Kerry Cahill, Jane McNeill, Jason Shaffette, P.J. Marshall, Stephanie Honoré, Teri Wyble, Hunter Burke, Randy Austin, Jared Bankens, Alfre Woodard","Down on his luck and facing financial hardship, Gerry teams up with younger charismatic poker player, Curtis, in an attempt to change his luck. The two set off on a road trip through the South with visions of winning back what's been lost.",17959,72.0,128.0,"Anna Boden, Ryan Fleck",6.21153061019776,6.4,"Down on his luck and facing financial hardship, Gerry teams up with younger charismatic poker player, Curtis, in an attempt to change his luck. The two set off on a road trip through the South with visions of winning back what's been lost.Ben Mendelsohn Yvonne Landry Anthony HowardComedy, DramaAnna Boden, Ryan Fleck",mississippi grind
The Daughter,"Action, Drama, Thriller",Infinitive Films,"Marian Sorensen, Kevin McCorkle, Drew Howerton, Michael Teh, Bri Parcel, Joe Sofranko, Quinn Spilsbury, Gualberto Del Toro, Megan Taylor Harvey, Jackson Palmer, Stephen Bowman, Mary Ellen Osborne, Alex Darke, Erynne Elkins, Lynette Li",The daughter of a wealthy mayoral candidate and her friends are held for ransom by a group of daring criminals.,169,1.0,1.0,Simon Stone,6.088331384866376,4.6,"The daughter of a wealthy mayoral candidate and her friends are held for ransom by a group of daring criminals.Marian Sorensen Kevin McCorkle Drew HowertonAction, Drama, ThrillerSimon Stone",the daughter
,Drama,Screen NSW,"Geoffrey Rush, Nicholas Hope, Sam Neill, Ewen Leslie, Richard Sutherland, Paul Schneider, Robert Menzies, Anna Torv, Eden Falk, Odessa Young, Miranda Otto, Gareth Davies, Wilson Moore, Ivy Mak, Kate Box","The story follows a man who returns home to discover a long-buried family secret, and whose attempts to put things right threaten the lives of those he left home years before.",4075,42.0,87.0,Simon Stone,6.157892673894484,6.6,"The story follows a man who returns home to discover a long-buried family secret, and whose attempts to put things right threaten the lives of those he left home years before.Geoffrey Rush Nicholas Hope Sam NeillDramaSimon Stone",the daughter
Mumbai Cha Raja,Drama,Cinemanjeet Creations,"Rahul Bairagi, Dhanshree Jain, Arbaaz Khan, Salman Khan, Chhatrapal Ninawe, Tejas D. Parvatkar","Rahul, a mischievous adolescent roams the rain soaked slums of Mumbai with Arbaaz, a balloon selling boy. They escape harsh reality of life by roasting stolen potatoes; stealing an auto rickshaw for a joyride; chasing girls, etc.",126,1.0,6.0,Manjeet Singh,6.098567078750202,6.5,"Rahul, a mischievous adolescent roams the rain soaked slums of Mumbai with Arbaaz, a balloon selling boy. They escape harsh reality of life by roasting stolen potatoes; stealing an auto rickshaw for a joyride; chasing girls, etc.Rahul Bairagi Dhanshree Jain Arbaaz KhanDramaManjeet Singh",mumbai cha raja
Blue Ruin,"Crime, Drama, Thriller",The Lab of Madness,"Macon Blair, Ydaiber Orozco, Ronald Sarcos, Dani Santiago, Adrian Santiago, George Fredericks, Elizabeth Fredericks, Sidné Anderson, Brooke Bennett, Ellen Danaher, Katie Kramer, Shelley Illmensee, Kevin Kolack, Stacy Rock, Eve Plumb","A mysterious outsider's quiet life is turned upside down when he returns to his childhood home to carry out an act of vengeance. Proving himself an amateur assassin, he winds up in a brutal fight to protect his estranged family.",60611,172.0,297.0,Jeremy Saulnier,6.771482060651071,7.1,"A mysterious outsider's quiet life is turned upside down when he returns to his childhood home to carry out an act of vengeance. Proving himself an amateur assassin, he winds up in a brutal fight to protect his estranged family.Macon Blair Ydaiber Orozco Ronald SarcosCrime, Drama, ThrillerJeremy Saulnier",blue ruin
Deewana Main Deewana,"Comedy, Romance, Thriller",Sangeeta Pictures,"Govinda, Priyanka Chopra, Kader Khan, Vikas Anand, Prem Chopra, Shakti Kapoor, Nasirr Khan, Nazir Khan, Johnny Lever, Sharat Saxena, Himani Shivpuri, Resham Tipnis",Basant (Govinda) does everything he can to get the girl he loves,299,3.0,1.0,K.C. Bokadia,6.060781322143492,2.5,"Basant (Govinda) does everything he can to get the girl he lovesGovinda Priyanka Chopra Kader KhanComedy, Romance, ThrillerK.C. Bokadia",deewana main deewana
Haraamkhor,"Drama, Romance",Khussro Films,"Nawazuddin Siddiqui, Shweta Tripathi, Trimala Adhikari, Irfan Khan, Mohammad Samad, Harish Khanna, Shreya Shah","An unlikely love triangle unfolds when married professor, Shyam, has an illicit affair with his student, Sandhya, who in turn is trying to be wooed by her classmate Kamal. Haraamkhor is a prohibited love story witnessed by two adolescents.",3148,21.0,17.0,Shlok Sharma,6.12606990419342,6.4,"An unlikely love triangle unfolds when married professor, Shyam, has an illicit affair with his student, Sandhya, who in turn is trying to be wooed by her classmate Kamal. Haraamkhor is a prohibited love story witnessed by two adolescents.Nawazuddin Siddiqui Shweta Tripathi Trimala AdhikariDrama, RomanceShlok Sharma",haraamkhor
Mugamoodi,"Action, Adventure",UTV Motion Pictures,"Jiiva, Narain, Nassar, Pooja Hegde, Selvaah, Girish Karnad, Aadukalam Naren, Amalados, Nicholas, Joy, Murugadass, Kalaiyarasan, Thilsha, Sivaraj, Sachidhanandam","A hopeless young man uses his ""Kung-fu"" skills and mask to tackle a bank robbery group without revealing his identity.",867,6.0,6.0,Mysskin,6.065553070371813,5.0,"A hopeless young man uses his ""Kung-fu"" skills and mask to tackle a bank robbery group without revealing his identity.Jiiva Narain NassarAction, AdventureMysskin",mugamoodi
Short Term 12,Drama,Animal Kingdom,"Brie Larson, John Gallagher Jr., Stephanie Beatriz, Rami Malek, Alex Calloway, Kevin Balmore, Lydia Du Veaux, LaKeith Stanfield, Frantz Turner, Kaitlyn Dever, Diana Maria Riva, Harold Cannon, Silvia Curiel, Melora Walters, Bran'dee Allen",A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,75270,154.0,266.0,Destin Daniel Cretton,7.463934281698662,8.0,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.Brie Larson John Gallagher Jr. Stephanie BeatrizDramaDestin Daniel Cretton,short term 12
2 States,"Comedy, Drama, Romance",Dharma Productions,"Arjun Kapoor, Alia Bhatt, Amrita Singh, Revathy, Ronit Roy, Shivkumar Subramaniam, Sharang Natarajan, Sanjay Bhatia, Madhu Anand Chandhock, Hemang Dave, Achint Kaur, Dilip Merala, Neil Shah, Aru Krishansh Verma",This movie chronicles how Chetan met his wife and the difficulties they faced due to their cultural differences.,22069,89.0,26.0,Abhishek Varman,6.4404594138253675,6.9,"This movie chronicles how Chetan met his wife and the difficulties they faced due to their cultural differences.Arjun Kapoor Alia Bhatt Amrita SinghComedy, Drama, RomanceAbhishek Varman",2 states
Man Up,Comedy,Kinetic Films,"Dion Basco, Gerry Bednob, Nichole Bloom, Duane Char, Parvesh Cheena, Justin Chon, Laura Grace D'Angeli, Samantha Futerman, Nicholas B. Gianforti, Amy Hill, Donia Idrissi, Patrick Jeppeson, Galadriel Stineman, James Unabia, Ashley Weismantel","Martin, a 19 year old slacker, has his life turned upside down when he gets his Mormon girlfriend pregnant so he moves in with his stoner best friend, Randall, who teaches him to be a man.",550,2.0,3.0,Ben Palmer,6.096910930067004,6.1,"Martin, a 19 year old slacker, has his life turned upside down when he gets his Mormon girlfriend pregnant so he moves in with his stoner best friend, Randall, who teaches him to be a man.Dion Basco Gerry Bednob Nichole BloomComedyBen Palmer",man up
,"Comedy, Drama, Romance",Big Talk Productions,"Lake Bell, Rory Kinnear, Ken Stott, Harriet Walter, Olivia Williams, Sharon Horgan, Ophelia Lovibond, Simon Pegg, Stephen Campbell Moore, Keir Charles, Phoebe Waller-Bridge, Robert Wilfort, Paul Thornley, Henry Lloyd-Hughes, James Reilly","A single woman takes the place of a stranger's blind date, which leads to her finding the perfect boyfriend.",45722,99.0,114.0,Ben Palmer,6.524158880110511,6.8,"A single woman takes the place of a stranger's blind date, which leads to her finding the perfect boyfriend.Lake Bell Rory Kinnear Ken StottComedy, Drama, RomanceBen Palmer",man up
Swearnet: The Movie,Comedy,Swearnet,"Robb Wells, John Paul Tremblay, Mike Smith, Patrick Roach, Tom Green, Scott 'Carrot Top' Thompson, Mishael Morgan, Lou Jurgens, Shannon Leroux, Dana Michael Woods, Howard Jerome, Leigh MacInnis, Ann Pirvu, Emily Mountford, Fiona Carver","Fed up with being censored in their post-Trailer Park Boys lives, the out of work stars/world-renowned 'swearists', Mike Smith, Robb Wells and John Paul Tremblay decide to start their own uncensored network on the internet.",2192,12.0,4.0,Warren P. Sonoda,6.08324438911826,5.9,"Fed up with being censored in their post-Trailer Park Boys lives, the out of work stars/world-renowned 'swearists', Mike Smith, Robb Wells and John Paul Tremblay decide to start their own uncensored network on the internet.Robb Wells John Paul Tremblay Mike SmithComedyWarren P. Sonoda",swearnet: the movie
Mission: Impossible - Rogue Nation,"Action, Adventure, Thriller",Paramount Pictures,"Tom Cruise, Jeremy Renner, Simon Pegg, Rebecca Ferguson, Ving Rhames, Sean Harris, Simon McBurney, Jingchu Zhang, Tom Hollander, Jens Hultén, Alec Baldwin, Mateo Rufino, Fernando Abadie, Alec Utgoff, Hermione Corfield","Ethan and team take on their most impossible mission yet, eradicating the Syndicate - an International rogue organization as highly skilled as they are, committed to destroying the IMF.",319915,517.0,509.0,,7.289927563486643,7.4,"Ethan and team take on their most impossible mission yet, eradicating the Syndicate - an International rogue organization as highly skilled as they are, committed to destroying the IMF.Tom Cruise Jeremy Renner Simon PeggAction, Adventure, Thrillernan",mission: impossible - rogue nation
